loop,iteration,Loss_qd_score,Loss_max_fitness,Loss_coverage
2,11,0.2816261836701955,0.015351846501296307,0.2912719891745602
3,21,0.31357247398702476,-0.1896154063688024,0.32204203244274815
4,31,0.3259455332967069,-0.09726308329987388,0.3342433697347894
5,41,0.3419661845884198,-0.31863331109413284,0.35027285129604363
6,51,0.3619254262439938,-0.5132677248615531,0.36609907120743024
7,61,0.3666933680250263,-0.4579040208686033,0.37247838616714707
8,71,0.37671826815569825,-0.547514809141333,0.38100451621732584
9,81,0.38905232084269653,-31.06200483086273,0.39411451616621895
10,91,0.39279916748403626,-27.7506911711316,0.397064479897894
11,101,0.4010129961792132,-20.828505663728283,0.40278815036096594
12,111,0.4074462862440936,-21.692113099768882,0.40971205466081007
13,121,0.4128626544460439,-17.41627474362871,0.41504446046623406
14,131,0.4189719358028128,-17.614151307650896,0.42093409198672355
15,141,0.42210255816934383,-42.89136787754889,0.4239015817223198
16,151,0.42733743479998626,5.032495702944425,0.4280241815648944
17,161,0.42572182392442925,1.0129823439358296,0.42618030705298393
18,171,0.43288608889182156,0.973339519340313,0.4332990037787702
19,181,0.4324535510168506,1.0248179560088555,0.43224781370986104
20,191,0.4352712087571485,1.0043248889293341,0.435270166496772
21,201,0.4376545509869647,0.9565999394240409,0.43764095624718097
22,211,0.44180592174960753,0.9626277714762445,0.44068751965850367
23,221,0.44457047984255676,0.9248408079388968,0.4440834043030031
24,231,0.4464003035566419,0.9795936521145489,0.4457226155907974
25,241,0.4500621856854869,0.975191648468,0.4487479131886477
26,251,0.4505268777792051,0.9386641984961143,0.4497225527192008
27,261,0.4559197506620617,0.9237931252114303,0.4538912733681793
28,271,0.4597558419391907,0.9534818992169019,0.45848059849823325
29,281,0.4564437175493493,0.9518091851968915,0.45496591059238045
30,291,0.46305038568441065,0.9456138601341043,0.4610732054691668
31,301,0.46127874030000365,0.9305209144682213,0.45952770233540374
32,311,0.46724923711563426,0.9584806757359465,0.46508061616050866
33,321,0.4677199485311213,0.9407078051161267,0.4654040070067878
34,331,0.46512411165883644,0.9441723350528738,0.46265723346090765
35,341,0.4695361088909578,0.941644674771951,0.4663608890345129
36,351,0.4746662487701728,0.9394977234257081,0.4719738276990185
37,361,0.47519810286378744,0.9556198554452097,0.47217078749591546
38,371,0.47186823267453326,0.9420078358806331,0.4684645824271422
39,381,0.4727747824703521,0.952371679534759,0.46970688382193265
40,391,0.47844028930613225,0.9462316067253261,0.47528720329976176
41,401,0.48284845475842614,0.9412861664626785,0.47969680563075257
42,411,0.4821642726671895,0.9430592107565601,0.47840675397770327
43,421,0.4837006486739866,0.9449058866125731,0.48032859922178983
44,431,0.4871429096845196,0.9459113565649361,0.4836862575626621
45,441,0.485784998856372,0.932021253340356,0.4818054205809308
46,451,0.4890981657980583,0.9407130103559581,0.4854400345125108
47,461,0.4901741242073311,0.9324847733093417,0.4860437547149478
